id,brand,name,category,product_type,price,currency,tag_list,rating
333,physicians formula,Physicians Formula Youthful Wear Spotless Foundation,liquid,foundation,18.49,,['Gluten Free'],4.7
332,annabelle,Annabelle SkinTrue Foundation,liquid,foundation,10.99,,[],5.0
331,almay,Almay Smart Shade Skintone Matching Makeup ,liquid,foundation,17.29,,[],4.5
330,l'oreal,L'Oreal Visible Lift Serum Absolute,liquid,foundation,20.49,,[],4.3
329,almay,Almay Smart Shade Anti-Aging Skintone Matching Makeup,liquid,foundation,17.29,,[],4.2
328,almay,Almay Truly Lasting Color Makeup,liquid,foundation,17.29,,[],4.5
327,covergirl,CoverGirl Outlast Stay Fabulous 3-in-1 Foundation ,liquid,foundation,12.49,,[],4.0
326,l'oreal,L'Oreal Paris True Match Lumi Healthy Luminous Foundation,liquid,foundation,20.99,,[],5.0
325,l'oreal,L'Oreal Paris Infallible Pro-Matte Foundation,liquid,foundation,19.99,,[],4.3
324,revlon,Revlon ColorStay Makeup for Normal / Dry Skin,liquid,foundation,19.99,,[],4.6
323,dr. hauschka,Dr. Hauschka Foundation,liquid,foundation,39.0,,"['Vegan', 'Natural']",4.7
322,e.l.f.,e.l.f. Studio Flawless Finish Foundation,liquid,foundation,9.99,,['Vegan'],4.0
321,maybelline,Maybelline Dream Liquid Mousse,liquid,foundation,14.79,,[],4.4
320,maybelline,Maybelline FIT ME! Matte + Poreless Foundation,liquid,foundation,10.99,,[],4.4
319,revlon,Revlon ColorStay Makeup for Combination / Oily Skin,liquid,foundation,19.99,,[],3.8
318,l'oreal,L'Oreal Paris True Match Super Blendable Makeup ,liquid,foundation,18.79,,[],4.1
317,maybelline,Maybelline Fit Me Foundation with SPF,liquid,foundation,10.99,,[],3.8
316,pure anada,Pure Anada Smooth & Conceal Liquid Foundation,liquid,foundation,25.0,,"['Canadian', 'Natural']",4.1
315,e.l.f.,e.l.f. Studio Tinted Moisturizer,liquid,foundation,4.99,,['Vegan'],3.8
314,almay,Almay Intense i-Color Everyday Neutrals for Blue Eyes,,eyeshadow,10.49,,[],4.0
313,covergirl,CoverGirl Trunaked Eyeshadow Palettes in Roses,palette,eyeshadow,12.99,,[],5.0
312,e.l.f.,e.l.f. Studio Baked Eyeshadow Trio ,,eyeshadow,6.99,,['Vegan'],
311,l'oreal,L'Oreal Colour Riche La Palette Nude in Nude 02,palette,eyeshadow,29.99,,[],4.0
310,dr. hauschka,Dr. Hauschka Eye Shadow ,,eyeshadow,22.0,,['Natural'],5.0
309,maybelline,Maybelline Expert Wear Eye Shadow Quad ,,eyeshadow,8.99,,[],4.0
308,sante,Sante Eyeshadow Trio,,eyeshadow,24.49,,"['Vegan', 'Gluten Free', 'Natural']",5.0
307,maybelline,Maybelline Eyestudio Color Tattoo Concentrated Crayon,,eyeshadow,10.99,,[],3.0
306,physicians formula,Physicians Formula Shimmer Strips Extreme Shimmer Shadow & Liner Palette ,palette,eyeshadow,15.79,,['Gluten Free'],4.5
305,wet n wild,Wet n Wild Color Icon Eyeshadow Trio ,,eyeshadow,4.79,,[],5.0
304,e.l.f.,e.l.f. Essential Little Black Beauty Book Eye Edition,palette,eyeshadow,9.99,,['Vegan'],4.0
303,milani,Milani Everyday Eyes Powder Eyeshadow Collection,,eyeshadow,12.99,,[],5.0
302,almay,Almay Intense i-Color Liquid Shadow + Color Primer,,eyeshadow,10.99,,[],4.5
